"","X","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Version","Face.Covering.Requirement"
"154","Virginia","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_08",NA
"155","Washington","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_08",NA
"156","West Virginia","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_08",NA
"157","Wisconsin","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_08",NA
"158","Wyoming","-","Lifted","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service ","-","2020_06_08",NA
"161","Alabama","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_12",NA
"162","Alaska","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_12",NA
"163","Arizona","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"164","Arkansas","-","From Certain States","-",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"165","California","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","2020_06_12",NA
"166","Colorado","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"167","Connecticut","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"168","Delaware","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"169","District of Columbia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"170","Florida","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"171","Georgia","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"172","Hawaii","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Limited Dine-in Service","-","2020_06_12",NA
"173","Idaho","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"174","Illinois","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_12",NA
"175","Indiana","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"176","Iowa","-","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_12",NA
"177","Kansas","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_12",NA
"178","Kentucky","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"179","Louisiana","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"180","Maine","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"181","Maryland","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"182","Massachusetts","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_12",NA
"183","Michigan","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"184","Minnesota","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"185","Mississippi","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"186","Missouri","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_12",NA
"187","Montana","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"188","Nebraska","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"189","Nevada","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"190","New Hampshire","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"191","New Jersey","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Closed Except for Takeout/Delivery","Postponed","2020_06_12",NA
"192","New Mexico","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_12",NA
"193","New York","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"194","North Carolina","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"195","North Dakota","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","2020_06_12",NA
"196","Ohio","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service","Postponed","2020_06_12",NA
"197","Oklahoma","High-Risk Groups","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"198","Oregon","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_12",NA
"199","Pennsylvania","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"200","Rhode Island","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"201","South Carolina","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_12",NA
"202","South Dakota","-","-","-","Lifted","Recommended Closure for School Year","-","-","2020_06_12",NA
"203","Tennessee","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","2020_06_12",NA
"204","Texas","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"205","Utah","Lifted","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_12",NA
"206","Vermont","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"207","Virginia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"208","Washington","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_12",NA
"209","West Virginia","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_12",NA
"210","Wisconsin","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_12",NA
"211","Wyoming","-","Lifted","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service ","-","2020_06_12",NA
"214","Alabama","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_15",NA
"215","Alaska","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_15",NA
"216","Arizona","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"217","Arkansas","-","Lifted","-","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"218","California","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","2020_06_15",NA
"219","Colorado","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"220","Connecticut","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"221","Delaware","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"222","District of Columbia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"223","Florida","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"224","Georgia","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"225","Hawaii","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Limited Dine-in Service","-","2020_06_15",NA
"226","Idaho","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"227","Illinois","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_15",NA
"228","Indiana","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"229","Iowa","-","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_15",NA
"230","Kansas","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_15",NA
"231","Kentucky","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"232","Louisiana","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"233","Maine","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"234","Maryland","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"235","Massachusetts","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_15",NA
"236","Michigan","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"237","Minnesota","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"238","Mississippi","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"239","Missouri","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_15",NA
"240","Montana","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"241","Nebraska","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"242","Nevada","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"243","New Hampshire","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"244","New Jersey","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"245","New Mexico","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_15",NA
"246","New York","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"247","North Carolina","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"248","North Dakota","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","2020_06_15",NA
"249","Ohio","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service","Postponed","2020_06_15",NA
"250","Oklahoma","High-Risk Groups","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"251","Oregon","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_15",NA
"252","Pennsylvania","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"253","Rhode Island","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"254","South Carolina","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_15",NA
"255","South Dakota","-","-","-","Lifted","Recommended Closure for School Year","-","-","2020_06_15",NA
"256","Tennessee","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","2020_06_15",NA
"257","Texas","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"258","Utah","Lifted","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_15",NA
"259","Vermont","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"260","Virginia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"261","Washington","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_15",NA
"262","West Virginia","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_15",NA
"263","Wisconsin","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_15",NA
"264","Wyoming","-","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_15",NA
"267","Alabama","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"268","Alaska","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_17",NA
"269","Arizona","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"270","Arkansas","-","Lifted","-","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"271","California","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"272","Colorado","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"273","Connecticut","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"274","Delaware","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"275","District of Columbia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"276","Florida","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"277","Georgia","Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen ","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","Postponed","2020_06_17",NA
"278","Hawaii","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Limited Dine-in Service","-","2020_06_17",NA
"279","Idaho","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"280","Illinois","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_17",NA
"281","Indiana","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"282","Iowa","-","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"283","Kansas","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_17",NA
"284","Kentucky","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"285","Louisiana","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"286","Maine","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"287","Maryland","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"288","Massachusetts","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_17",NA
"289","Michigan","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"290","Minnesota","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"291","Mississippi","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"292","Missouri","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"293","Montana","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"294","Nebraska","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"295","Nevada","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"296","New Hampshire","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"297","New Jersey","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"298","New Mexico","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_17",NA
"299","New York","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"300","North Carolina","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"301","North Dakota","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","2020_06_17",NA
"302","Ohio","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service","Postponed","2020_06_17",NA
"303","Oklahoma","High-Risk Groups","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"304","Oregon","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"305","Pennsylvania","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"306","Rhode Island","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"307","South Carolina","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"308","South Dakota","-","-","-","Lifted","Recommended Closure for School Year","-","-","2020_06_17",NA
"309","Tennessee","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
