"","X","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Version","Face.Covering.Requirement"
"273","Connecticut","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"274","Delaware","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"275","District of Columbia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"276","Florida","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"277","Georgia","Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen ","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","Postponed","2020_06_17",NA
"278","Hawaii","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Limited Dine-in Service","-","2020_06_17",NA
"279","Idaho","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"280","Illinois","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_17",NA
"281","Indiana","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"282","Iowa","-","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"283","Kansas","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_17",NA
"284","Kentucky","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"285","Louisiana","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"286","Maine","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"287","Maryland","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"288","Massachusetts","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_17",NA
"289","Michigan","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"290","Minnesota","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"291","Mississippi","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"292","Missouri","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"293","Montana","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"294","Nebraska","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"295","Nevada","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"296","New Hampshire","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"297","New Jersey","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"298","New Mexico","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_17",NA
"299","New York","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"300","North Carolina","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"301","North Dakota","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","2020_06_17",NA
"302","Ohio","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service","Postponed","2020_06_17",NA
"303","Oklahoma","High-Risk Groups","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"304","Oregon","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"305","Pennsylvania","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"306","Rhode Island","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"307","South Carolina","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"308","South Dakota","-","-","-","Lifted","Recommended Closure for School Year","-","-","2020_06_17",NA
"309","Tennessee","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"310","Texas","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"311","Utah","Lifted","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"312","Vermont","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"313","Virginia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"314","Washington","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_17",NA
"315","West Virginia","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_17",NA
"316","Wisconsin","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_17",NA
"317","Wyoming","-","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_17",NA
"320","Alabama","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"321","Alaska","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_22",NA
"322","Arizona","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"323","Arkansas","-","Lifted","-","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"324","California","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"325","Colorado","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"326","Connecticut","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"327","Delaware","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"328","District of Columbia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"329","Florida","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"330","Georgia","Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen ","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","Postponed","2020_06_22",NA
"331","Hawaii","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"332","Idaho","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"333","Illinois","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_22",NA
"334","Indiana","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"335","Iowa","-","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"336","Kansas","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_22",NA
"337","Kentucky","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"338","Louisiana","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"339","Maine","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"340","Maryland","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"341","Massachusetts","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"342","Michigan","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"343","Minnesota","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"344","Mississippi","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"345","Missouri","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"346","Montana","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"347","Nebraska","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"348","Nevada","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"349","New Hampshire","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"350","New Jersey","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"351","New Mexico","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_22",NA
"352","New York","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"353","North Carolina","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"354","North Dakota","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","2020_06_22",NA
"355","Ohio","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service","Postponed","2020_06_22",NA
"356","Oklahoma","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"357","Oregon","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"358","Pennsylvania","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"359","Rhode Island","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"360","South Carolina","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"361","South Dakota","-","-","-","Lifted","Recommended Closure for School Year","-","-","2020_06_22",NA
"362","Tennessee","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"363","Texas","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"364","Utah","Lifted","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"365","Vermont","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"366","Virginia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"367","Washington","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_22",NA
"368","West Virginia","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_22",NA
"369","Wisconsin","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_22",NA
"370","Wyoming","-","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_22",NA
"373","Alabama","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"374","Alaska","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_24",NA
"375","Arizona","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"376","Arkansas","-","Lifted","-","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"377","California","Statewide","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","All Gatherings Prohibited","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"378","Colorado","Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"379","Connecticut","Lifted","From Certain States (New)","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"380","Delaware","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"381","District of Columbia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"382","Florida","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"383","Georgia","Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen ","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","Postponed","2020_06_24",NA
"384","Hawaii","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"385","Idaho","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Recommended Closure","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"386","Illinois","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_24",NA
"387","Indiana","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"388","Iowa","-","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"389","Kansas","Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_24",NA
"390","Kentucky","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Below 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"391","Louisiana","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"392","Maine","Statewide","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"393","Maryland","Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"394","Massachusetts","Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"395","Michigan","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"396","Minnesota","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"397","Mississippi","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"398","Missouri","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"399","Montana","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Rescinded","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"400","Nebraska","-","Rolled Back to International Travel","-","Expanded to New Limit of 25","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"401","Nevada","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"402","New Hampshire","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"403","New Jersey","Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"404","New Mexico","Statewide","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Closed Except for Takeout/Delivery","-","2020_06_24",NA
"405","New York","Statewide","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"406","North Carolina","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited","Closed","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"407","North Dakota","-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-","Closed","Reopened to Dine-in Service","-","2020_06_24",NA
"408","Ohio","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed for School Year","Reopened to Dine-in Service","Postponed","2020_06_24",NA
"409","Oklahoma","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"410","Oregon","Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"411","Pennsylvania","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"412","Rhode Island","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25","Closed","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"413","South Carolina","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"414","South Dakota","-","-","-","Lifted","Recommended Closure for School Year","-","-","2020_06_24",NA
"415","Tennessee","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25","Recommended Closure for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"416","Texas","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"417","Utah","Lifted","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"418","Vermont","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"419","Virginia","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"420","Washington","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_24",NA
"421","West Virginia","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","Postponed","2020_06_24",NA
"422","Wisconsin","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_24",NA
"423","Wyoming","-","Lifted","-","Expanded to New Limit Above 25","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_24",NA
"426","Alabama","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service","-","2020_06_25","Required for Certain Employees"
"427","Alaska","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted","Closed for School Year","Reopened to Dine-in Service ","-","2020_06_25","Required for Certain Employees"
"428","Arizona","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Closed for School Year","Reopened to Dine-in Service with Capacity Limits","-","2020_06_25","Required for Certain Employees;
Allows Local Officials to Require for General Public"
